company_name,rank,website,policy_url
Duke Energy ,126,http://www.duke-energy.com,"https://www.duke-energy.com/legal/privacy
"
Halliburton ,127,http://www.halliburton.com,https://www.halliburton.com/en-US/about-us/legal/privacy-policy.html?SRC=Footer
Cummins ,128,http://www.cummins.com,http://www.cummins.com/privacy-and-legal
Amgen ,129,http://www.amgen.com,http://www.amgen.com/privacy-statement/
Paccar ,130,http://www.paccar.com,http://www.paccar.com/privacy.aspx
Southern ,131,http://www.southerncompany.com,http://www.southerncompany.com/privacy-statement.html
CenturyLink ,132,http://www.centurylink.com,https://www.centurylink.com/aboutus/legal/privacy-policy.html
International Paper ,133,http://www.internationalpaper.com,http://www.internationalpaper.com/legal-pages/privacy-statement
Union Pacific ,134,http://www.up.com,http://www.up.com/up/aboutup/corporate_info/privacy/index.htm
Dollar Tree ,135,http://www.dollartree.com,"https://www.dollartree.com/privacy-policy
"
Penske Automotive Group ,136,http://www.penskeautomotive.com,https://www.penskeautomotive.com/CustomPage/Index?keyGenPage=469473
Qualcomm ,137,http://www.qualcomm.com,http://www.qualcomm.com/site/privacy
Bristol-Myers Squibb ,138,http://www.bms.com,http://www.bms.com/privacy-policy.html
Gilead Sciences ,139,http://www.gilead.com,http://www.gilead.com/privacy-statements
Jabil ,140,http://www.jabil.com,http://www.jabil.com/about-us/the-jabil-code/privacy.html
ManpowerGroup ,141,http://www.manpowergroup.com,http://www.manpowergroup.com/wcm/connect/manpowergroup/home/privacy-policy
Southwest Airlines ,142,http://www.southwest.com,http://www.southwest.com/html/about-southwest/terms-and-conditions/privacy-policy-pol.html?clk=gfooter-bottom-privacy
Aflac ,143,http://www.aflac.com,http://www.aflac.com/about-aflac/privacy-policy.aspx
Tesla ,144,http://www.tesla.com,https://www.tesla.com/about/legal#privacy-statement
AutoNation ,145,http://www.autonation.com,http://www.autonation.com/about#/privacypolicy
CBRE Group ,146,http://www.cbre.com,http://www.cbre.com/about/privacy-policy
Lear ,147,http://www.lear.com,http://www.lear.com/site/company/privacy.aspx
Whirlpool ,148,http://www.whirlpoolcorp.com,https://whirlpoolcorp.com/privacy-notice-united-states-and-canada/
McDonald’s ,149,http://www.aboutmcdonalds.com,"https://corporate.mcdonalds.com/corpmcd/privacy.html
"
Broadcom ,150,http://www.broadcom.com,"https://www.broadcom.com/company/legal/privacy-policy
"
Marriott International ,151,http://www.marriott.com,http://www.marriott.com/about/privacy.mi
Western Digital ,152,http://www.wdc.com,"https://www.westerndigital.com/legal/privacy-statement
"
Visa ,153,http://www.visa.com,https://usa.visa.com/dam/VCOM/global/support-legal/documents/privacy-notice.pdf
Lennar ,154,http://www.lennar.com,http://www.lennar.com/privacypolicy
WellCare Health Plans ,155,http://www.wellcare.com,http://www.wellcare.com/en/corporate/legal
Kohl’s ,156,http://www.kohls.com,http://www.kohls.com/feature/privacy-policy.jsp
AECOM ,157,http://www.aecom.com,http://www.aecom.com/privacy-policy/
Synnex ,158,http://www.synnex.com,"https://www.synnexcorp.com/privacy-policy/
"
PNC Financial Services ,159,http://www.pnc.com,https://www.pnc.com/content/dam/pnc-com/pdf/Privacy%20Policy/privacy_notice_english.pdf
Danaher ,160,http://www.danaher.com,http://www.danaher.com/data-privacy-policy
Hartford Financial Services ,161,http://www.thehartford.com,https://www.thehartford.com/online-privacy-policy
Altria Group ,162,http://www.altria.com,http://www.altria.com/privacy
Bank of New York Mellon ,163,http://www.bnymellon.com,http://www.bnymellon.com/us/en/privacy.jsp
Fluor ,164,http://www.fluor.com,http://www.fluor.com/privacy-policy
Avnet ,165,http://www.avnet.com,http://www.avnet.com/wps/portal/apac/about-avnet/data-protection-policy/
Icahn Enterprises ,166,http://www.ielp.com,"https://www.ielp.com/legal-disclaimer
"
Occidental Petroleum ,167,http://www.oxy.com,https://www.oxy.com/Information/Pages/Privacy-Policy.aspx
Molina Healthcare ,168,http://www.molinahealthcare.com,http://www.molinahealthcare.com/members/common/en-us/pages/terms_privacy.aspx
Genuine Parts ,169,http://www.genpt.com,None
Freeport-McMoRan ,170,http://www.fcx.com,"https://www.fcx.com/privacy-policy
"
Kimberly-Clark ,171,http://www.kimberly-clark.com,http://www.kimberly-clark.com/privacy
Tenet Healthcare ,172,http://www.tenethealth.com,http://www.tenethealth.com/privacy
Synchrony Financial ,173,http://www.synchronyfinancial.com,http://www.synchronyfinancial.com/privacy-policy.html
CarMax ,174,http://www.carmax.com,"https://www.carmax.com/privacy-policy
"
HollyFrontier ,175,http://www.hollyfrontier.com,http://www.hollyfrontier.com/privacy-statement/default.aspx
Performance Food Group ,176,http://www.pfgc.com,http://www.pfgc.com/about/privacy-policy
Sherwin-Williams ,177,http://www.sherwin.com,https://privacy.sherwin-williams.com
Emerson Electric ,178,http://www.emerson.com,http://www.emerson.com/en-us/privacy-notice
NGL Energy Partners ,179,http://www.nglenergypartners.com,http://www.nglenergypartners.com/privacy-policy
XPO Logistics ,180,http://www.xpo.com,http://www.xpo.com/privacy-policy/
EOG Resources ,181,http://www.eogresources.com,"https://www.eogresources.com/terms/
"
Applied Materials ,182,http://www.appliedmaterials.com,http://www.appliedmaterials.com/privacy
PG&E ,183,http://www.pgecorp.com,"https://www.pge.com/en_US/about-pge/company-information/privacy-policy/privacy-policy/privacy-policy.page
"
NextEra Energy ,184,http://www.nexteraenergy.com,"http://www.nexteraenergy.com/privacy-policy.html
"
C.H. Robinson Worldwide ,185,http://www.chrobinson.com,http://www.chrobinson.com/en-us/privacy-notice/
Gap ,186,http://www.gapinc.com,https://corporate.gapinc.com/en-us/consumer-privacy-policy
Lincoln National ,187,http://www.lfg.com,http://www.lfg.com/public/privacy/onlineprivacypolicy
DaVita ,188,http://www.davita.com,https://www.davita.com/privacy-policy
Jones Lang LaSalle ,189,http://www.jll.com,https://www.us.jll.com/en/privacy-statement
WestRock ,190,http://www.westrock.com,http://www.westrock.com/en/privacy-policy
CDW ,191,http://www.cdw.com,http://www.cdw.com/content/cdw/en/terms-conditions/privacy-policy.html
American Electric Power ,192,http://www.aep.com,"https://www.aep.com/terms/
"
Cognizant Technology Solutions ,193,http://www.cognizant.com,http://www.cognizant.com/privacy-notice
D.R. Horton ,194,http://www.drhorton.com,https://www.drhorton.com/privacy-policy
Becton Dickinson ,195,http://www.bd.com,http://www.bd.com/en-us/privacy-policy
Nordstrom ,196,http://www.nordstrom.com,"https://shop.nordstrom.com/c/nordstrom-privacy?origin=footer&cm_sp=corp-_-corp_legal-_-globalfooternav_yourprivacyrights
"
Netflix ,197,http://www.netflix.com,https://help.netflix.com/legal/privacy
Aramark ,198,http://www.aramark.com,http://www.aramark.com/other/privacy-policy
Texas Instruments ,199,http://www.ti.com,http://www.ti.com/legal/privacy.html
General Mills ,200,http://www.generalmills.com,http://www.generalmills.com/en/company/privacy-policies/privacy-policy-us
Supervalu ,201,http://www.supervalu.com,http://www.supervalu.com/misc/privacy-policy.html
Colgate-Palmolive ,202,http://www.colgatepalmolive.com,http://www.colgatepalmolive.com/en-us/legal-privacy-policy/privacy-policy
Goodyear Tire & Rubber ,203,http://www.goodyear.com,https://corporate.goodyear.com/en-US/terms-conditions-and-privacy-policy/online-privacy-policy.html
PayPal Holdings ,204,http://www.paypal.com,https://www.paypal.com/us/webapps/mpp/ua/privacy-full
PPG Industries ,205,http://www.ppg.com,http://corporate.ppg.com/legal
Omnicom Group ,206,http://www.omnicomgroup.com,http://www.omnicomgroup.com/privacy-notice/
Celgene ,207,http://www.celgene.com,https://www.celgene.com/privacy-policy/general-privacy-policy/
Jacobs Engineering Group ,208,http://www.jacobs.com,http://www.jacobs.com/policies/privacy-policy
Ross Stores ,209,http://www.rossstores.com,http://www.rossstores.com/privacy-policy
Mastercard ,210,http://www.mastercard.com,https://www.mastercard.us/en-us/about-mastercard/what-we-do/privacy.html
Marsh & McLennan ,211,http://www.mmc.com,http://www.mmc.com/privacy-statement.html
Land O’Lakes ,212,http://www.landolakesinc.com,http://www.landolakesinc.com/privacy-policy
Waste Management ,213,http://www.wm.com,http://www.wm.com/us/en/privacy
Illinois Tool Works ,214,http://www.itw.com,https://www.itw.com/utilities/privacy-statement/
Ecolab ,215,http://www.ecolab.com,https://www.ecolab.com/privacy-policy
Booking Holdings ,216,http://www.bookingholdings.com,https://www.bookingholdings.com/privacy-policy
CBS ,217,http://www.cbscorporation.com,https://www.viacbs.com/privacy-policy
Parker-Hannifin ,218,http://www.parker.com,"https://www.parker.com/portal/site/PARKER/menuitem.4450f18f18c082cdfd40eae8237ad1ca/?vgnextoid=cb333a5693983610VgnVCM100000e6651dacRCRD
"
Principal Financial ,219,http://www.principal.com,http://www.principal.com/privacy-policies
DTE Energy ,220,http://www.dteenergy.com,https://newlook.dteenergy.com/wps/wcm/connect/dte-web/quicklinks/footer/01+online+privacy+policy
BlackRock ,221,http://www.blackrock.com,https://www.blackrock.com/corporate/compliance/privacy-policy
United States Steel ,222,http://www.ussteel.com,https://www.ussteel.com/caprivacy
Community Health Systems ,223,http://www.chs.net,http://www.chs.net/privacy_statement/
Kinder Morgan ,224,http://www.kindermorgan.com,"https://www.kindermorgan.com/content/docs/kmc_privacypolicy.pdf
"
Qurate Retail ,225,http://www.qurateretail.com,http://www.qurateretail.com/privacy.html
Loews ,226,http://www.loews.com,"https://loews.com/filestore/code-of-business-conduct-and-ethics.pdf
"
Arconic ,227,http://www.arconic.com,http://www.arconic.com/privacy/
Stanley Black & Decker ,228,http://www.stanleyblackanddecker.com,https://www.stanleyblackanddecker.com/privacy-policy/global-privacy-policy
Textron ,229,http://www.textron.com,http://www.textron.com/legal/website-privacy-policy
Las Vegas Sands ,230,http://www.sands.com,http://www.sands.com/privacy-policy.html
Estee Lauder ,231,http://www.elcompanies.com,http://www.elcompanies.com/en/privacy-policy
DISH Network ,232,http://www.dish.com,http://www.dish.com/downloads/legal/privacystatement2.pdf
Stryker ,233,http://www.stryker.com,"https://www.stryker.com/us/en/legal/privacy.html
"
Kellogg ,234,http://www.kelloggcompany.com,http://www.kelloggcompany.com/en_us/privacy-policy.html
Biogen ,235,http://www.biogen.com,http://www.biogen.com/en_us/privacy-policy.html
Alcoa ,236,http://www.alcoa.com,http://www.alcoa.com/global/en/general/privacy.asp
Anadarko Petroleum ,237,http://www.anadarko.com,http://www.anadarko.com/information/pages/privacy-policy.aspx
Dominion Energy ,238,http://www.dominionenergy.com,"https://www.dominionenergy.com/privacy
"
ADP ,239,http://www.adp.com,https://www.adp.com/-/media/adp/redesign2018/pdf/data%20privacy/public-global-privacy-policy.ashx?la=en&hash=46B32E1AAE152E9E89C1707F33F637A5C226B485
salesforce.com ,240,http://www.salesforce.com,https://www.salesforce.com/ap/company/privacy/
L Brands ,241,http://www.lb.com,http://www.lb.com/communication/privacy-policy
Henry Schein ,242,http://www.henryschein.com,https://www.henryschein.com/us-en/Privacy.aspx
Newell Brands ,243,http://www.newellbrands.com,https://privacy.newellbrands.com/index_en.html
Guardian Life Ins. Co. of America ,244,http://www.guardianlife.com,http://www.guardianlife.com/privacy-policy
BJ’s Wholesale Club ,245,http://www.bjs.com,http://www.bjs.com/content?template=b&espot_main=about_privacy
BB&T Corp. ,246,http://www.bbt.com,https://www.bbt.com/privacy-security/policies/consumer-privacy-notice.html
State Street Corp. ,247,http://www.statestreet.com,https://www.statestreet.com/content/dam/statestreet/documents/Careers/PRIVACYNOTICE_UnitedStates_FINAL.pdf
Viacom ,248,http://www.viacom.com,https://www.viacbs.com/privacy-policy
Ameriprise Financial ,249,http://www.ameriprise.com,https://www.ameriprise.com/privacy-security-fraud/internet-privacy-statement/
Core-Mark Holding ,250,http://www.core-mark.com,https://www.core-mark.com/privacy-policy/
Reinsurance Group of America ,251,http://www.rgare.com,https://www.rgare.com/privacy-policy
VF ,252,http://www.vfc.com,http://www.vfc.com/privacy-policy
Discover Financial Services ,253,http://www.discover.com,https://www.discover.com/privacy-statement/about-the-information.html
Global Partners ,254,http://www.globalp.com,https://www.globalp.com/privacy-policy/
Edison International ,255,http://www.edisoninvestor.com,"https://www.edison.com/home/privacy-notice.html
"
Oneok ,256,http://www.oneok.com,http://www.oneok.com/legal-and-privacy
Murphy USA ,257,http://www.murphyusa.com,http://www.murphyusa.com/about-us/privacy-policy/
Bed Bath & Beyond ,258,http://www.bedbathandbeyond.com,https://www.bedbathandbeyond.com/store/static/PrivacyPolicy
Consolidated Edison ,259,http://www.conedison.com,"https://www.coned.com/en/conedison-privacy-statement
"
CSX ,260,http://www.csx.com,http://www.csx.com/index.cfm/about-the-site/privacy
J.C. Penney ,261,http://www.jcpenney.com,https://www.jcpenney.com/m/privacy-notice?pageid=pg4003700012&isfooter=true&title=privacy%20notice
LKQ ,262,http://www.lkqcorp.com,http://www.lkqcorp.com/privacy
FirstEnergy ,263,http://www.firstenergycorp.com,http://www.firstenergycorp.com/corporate/privacy_legal_statement.html
Steel Dynamics ,264,http://www.steeldynamics.com,"https://ir.steeldynamics.com/profiles/main/disclaimer1.asp?bzid=2197
"
Lithia Motors ,265,http://www.lithiainvestorrelations.com,"https://www.lithia.com/lithia-privacy.htm
"
MGM Resorts International ,266,http://www.mgmresorts.com,http://www.mgmresorts.com/en/privacy-policy.html
Tenneco ,267,http://www.tenneco.com,http://www.tenneco.com/privacy_policy/
Nvidia ,268,http://www.nvidia.com,https://www.nvidia.com/en-us/about-nvidia/privacy-policy/
Sempra Energy ,269,http://www.sempra.com,http://www.sempra.com/privacy
Farmers Insurance Exchange ,270,http://www.farmers.com,https://www.farmers.com/privacy-statement/
Ball ,271,http://www.ball.com,https://www.ball.com/Ball/media/Ball/Global/Privacy%20Statement%20Docs/Privacy-Policy-General.pdf
Group 1 Automotive ,272,http://www.group1auto.com,http://www.group1auto.com/privacy.html
Unum Group ,273,http://www.unum.com,https://www.unum.com/privacy/internet-privacy-notice
Xcel Energy ,274,http://www.xcelenergy.com,https://www.xcelenergy.com/staticfiles/xe/Admin/Xcel%20Online%20Privacy%20Policy.pdf
Reliance Steel & Aluminum ,275,http://www.rsac.com,https://www.rsac.com/index.php/page/view/privacy
Huntsman ,276,http://www.huntsman.com,http://www.huntsman.com/portal/page/portal/3da47ca218060fc4e053d96bebcd44ad
Norfolk Southern ,277,http://www.norfolksouthern.com,http://www.norfolksouthern.com/content/nscorp/en/privacy.html
Laboratory Corp. of America ,278,http://www.labcorp.com,http://www.labcorp.com/hipaa-privacy/web-privacy-policy
Corning ,279,http://www.corning.com,"https://www.corning.com/worldwide/en/privacy-policy.html
"
Expedia Group ,280,http://www.expediagroup.com,https://www.expediagroup.com/privacy-policy/
AutoZone ,281,http://www.autozone.com,"https://www.autozone.com/termsandconditions/termsAndConditionsHome.jsp?leftNavPage=privacyPolicy&pageCategory=privacyPolicy
"
W.W. Grainger ,282,http://www.grainger.com,http://www.grainger.com/content/privacy-policy
Quanta Services ,283,http://www.quantaservices.com,https://www.quantaservices.com/privacy-policy/
Crown Holdings ,284,http://www.crowncork.com,http://www.crowncork.com/privacy-policy
